birdnet_scientific,birdnet_common,likelihood_lower_murray
Anhinga novaehollandiae,Australasian Darter,Likely (recorded)
Tachybaptus novaehollandiae,Australasian Grebe,Likely (recorded)
Porphyrio melanotus,Australasian Swamphen,Likely (recorded)
Gymnorhina tibicen,Australian Magpie,Likely (recorded)
Pelecanus conspicillatus,Australian Pelican,Likely (recorded)
Acrocephalus australis,Australian Reed Warbler,Very likely
Tadorna tadornoides,Australian Shelduck,Likely (recorded)
Ixobrychus dubius,Black-backed Bittern,Likely (recorded)
Coracina novaehollandiae,Black-faced Cuckooshrike,Likely (recorded)
Artamus cinereus,Black-faced Woodswallow,Likely (recorded)
Elseyornis melanops,Black-fronted Dotterel,Likely (recorded)
Tribonyx ventralis,Black-tailed Nativehen,Likely (recorded)
Falco berigora,Brown Falcon,Likely (recorded)
Accipiter fasciatus,Brown Goshawk,Likely (recorded)
Synoicus ypsilophorus,Brown Quail,Likely (recorded)
Cincloramphus cruralis,Brown Songlark,Likely (recorded)
Cacomantis variolosus,Brush Cuckoo,Likely (recorded)
Melopsittacus undulatus,Budgerigar,Likely (recorded)
Gallirallus philippensis,Buff-banded Rail,Likely (recorded)
Anas castanea,Chestnut Teal,Likely (recorded)
Accipiter cirrocephalus,Collared Sparrowhawk,Likely (recorded)
Ocyphaps lophotes,Crested Pigeon,Likely (recorded)
Eurystomus orientalis,Dollarbird,Likely (recorded)
Charadrius bicinctus,Double-banded Plover,Likely (recorded)
Gallinula tenebrosa,Dusky Moorhen,Likely (recorded)
Artamus cyanopterus,Dusky Woodswallow,Likely (recorded)
Fulica atra,Eurasian Coot,Likely (recorded)
Alauda arvensis,Eurasian Skylark,Likely (recorded)
Carduelis carduelis,European Goldfinch,Likely (recorded)
Chloris chloris,European Greenfinch,Likely (recorded)
Petrochelidon ariel,Fairy Martin,Likely (recorded)
Eolophus roseicapilla,Galah,Likely (recorded)
Cisticola exilis,Golden-headed Cisticola,Very likely
Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,Likely (recorded)
Gallinago hardwickii,Latham's Snipe,Possible (uncommon)
Lewinia pectoralis,Lewin's Rail,Likely (recorded)
Cacatua sanguinea,Little Corella,Likely (recorded)
Numenius minutus,Little Curlew,Likely (recorded)
Poodytes gramineus,Little Grassbird,Likely (recorded)
Corvus mellori,Little Raven,Likely (recorded)
Anseranas semipalmata,Magpie Goose,Likely (recorded)
Grallina cyanoleuca,Magpie-lark,Likely (recorded)
Chenonetta jubata,Maned Duck,Likely (recorded)
Vanellus miles,Masked Lapwing,Very likely
Phylidonyris novaehollandiae,New Holland Honeyeater,Likely (recorded)
Manorina melanocephala,Noisy Miner,Likely (recorded)
Glareola maldivarum,Oriental Pratincole,Likely (recorded)
Anas superciliosa,Pacific Black Duck,Very likely
Apus pacificus,Pacific Swift,Likely (recorded)
Cacomantis pallidus,Pallid Cuckoo,Likely (recorded)
Geopelia placida,Peaceful Dove,Likely (recorded)
Cracticus nigrogularis,Pied Butcherbird,Likely (recorded)
Himantopus leucocephalus,Pied Stilt,Likely (recorded)
Malacorhynchus membranaceus,Pink-eared Duck,Likely (recorded)
Malurus assimilis,Purple-backed Fairywren,Likely (recorded)
Merops ornatus,Rainbow Bee-eater,Likely (recorded)
Anthochaera carunculata,Red Wattlebird,Likely (recorded)
Petroica goodenovii,Red-capped Robin,Likely (recorded)
Cincloramphus mathewsi,Rufous Songlark,Likely (recorded)
Todiramphus sanctus,Sacred Kingfisher,Likely (recorded)
Chroicocephalus novaehollandiae,Silver Gull,Likely (recorded)
Zosterops lateralis,Silvereye,Likely (recorded)
Gavicalis virescens,Singing Honeyeater,Likely (recorded)
Aphelocephala leucopsis,Southern Whiteface,Likely (recorded)
Zapornia tabuensis,Spotless Crake,Possible (uncommon)
Streptopelia chinensis,Spotted Dove,Likely (recorded)
Coturnix pectoralis,Stubble Quail,Likely (recorded)
Malurus cyaneus,Superb Fairywren,Likely (recorded)
Circus approximans,Swamp Harrier,Likely (recorded)
Petrochelidon nigricans,Tree Martin,Likely (recorded)
Hirundo neoxena,Welcome Swallow,Likely (recorded)
Haliastur sphenurus,Whistling Kite,Likely (recorded)
Eudocimus albus,White Ibis,Likely (recorded)
Haliaeetus leucogaster,White-bellied Sea-Eagle,Likely (recorded)
Artamus superciliosus,White-browed Woodswallow,Likely (recorded)
Egretta novaehollandiae,White-faced Heron,Likely (recorded)
Ptilotula penicillata,White-plumed Honeyeater,Likely (recorded)
Lalage tricolor,White-winged Triller,Likely (recorded)
Rhipidura leucophrys,Willie-wagtail,Likely (recorded)
Acanthiza nana,Yellow Thornbill,Likely (recorded)
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Likely (recorded)
